"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.69004748048805e-05" "7.38916327430421e-07" "3.8444527992229e-05" "6.73638429077986e-06" "3.8444527992229e-05" "2.02091528723396e-05" "0.00622308534660724" "0.00622308534660724" "0.00549914749606443" "0.00485506059845051"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.89868483366869e-05" "1.00657296784747e-06" "3.30174806718709e-05" "1.78029533961155e-06" "3.30174806718709e-05" "5.34088601883466e-06" "0.00576842616403085" "0.00576842616403085" "0.00565259583952447" "0.00431842801338223"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.33041843372463e-05" "7.34440512493508e-07" "4.1240944704156e-05" "3.99861282638515e-06" "4.1240944704156e-05" "1.19958384791555e-05" "0.00647147847549548" "0.00647147847549548" "0.00513648432594119" "0.00387173938303063"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.23619858941162e-05" "7.47028802973585e-07" "3.90252000314438e-05" "1.70621575078017e-06" "3.90252000314438e-05" "5.11864725234052e-06" "0.00626180265535009" "0.00626180265535009" "0.00603504927445403" "0.00530140368452015"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.94521279943539e-05" "7.75650655780412e-07" "3.7495003268497e-05" "1.67337663622787e-06" "3.7495003268497e-05" "5.02012990868362e-06" "0.00611228140557614" "0.00611228140557614" "0.00570048581189515" "0.00443892451596736"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.11408031924808e-05" "7.25850360692947e-07" "3.20074362298656e-05" "2.66262181611945e-06" "3.20074362298656e-05" "7.98786544835834e-06" "0.00564689846699576" "0.00564689846699576" "0.005096052487989" "0.00411262053953824"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.91202772276204e-05" "8.54033683132818e-07" "3.87353843432899e-05" "2.927188086689e-06" "3.87353843432898e-05" "8.78156426006698e-06" "0.00619452430427588" "0.00619452430427588" "0.00603917710011567" "0.00422784102507864"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.8385956393883e-05" "7.52769177313862e-07" "4.96040731009273e-05" "2.37507149278917e-06" "4.96040731009273e-05" "7.12521447836751e-06" "0.0069343716619456" "0.0069343716619456" "0.00663092745560413" "0.00531640456780561"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.65060578010573e-05" "6.91589157762205e-07" "4.10320642959049e-05" "3.75574541544358e-06" "4.10320642959049e-05" "1.12672362463307e-05" "0.00633453560934769" "0.00633453560934769" "0.00598522150963494" "0.00524148042742978"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.81084061946436e-05" "7.2664532006593e-07" "3.86549076449078e-05" "1.84998803085642e-06" "3.86549076449078e-05" "5.54996409256925e-06" "0.00626485621287509" "0.00626485621287509" "0.00593733154770207" "0.00442157427527749"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.6089516933599e-05" "6.75525134260396e-07" "3.83735505605647e-05" "1.68838524248587e-06" "3.83735505605647e-05" "5.06515572745761e-06" "0.00616175167551092" "0.00616175167551092" "0.00591471484164857" "0.0050805676610353"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.7039071282179e-05" "7.07561385907597e-07" "4.19179472451182e-05" "4.04634259443515e-06" "4.19179472451182e-05" "1.21390277833055e-05" "0.00617205420776161" "0.00617205420776161" "0.00571157106904991" "0.0040732416105426"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.92167133896583e-05" "7.53557746088686e-07" "3.69055970689322e-05" "1.68078933798976e-06" "3.69055970689322e-05" "5.04236801396927e-06" "0.00601565228012146" "0.00601565228012146" "0.00564713101210661" "0.00424606244522384"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.18768779934406e-05" "7.13860438020595e-07" "4.08262956460957e-05" "2.1480750641263e-06" "4.08262956460957e-05" "6.4442251923789e-06" "0.00639958836228236" "0.00639958836228236" "0.00611683316579385" "0.00485534836882075"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.37800511419158e-05" "7.96853780339108e-07" "3.9109257419786e-05" "2.82156151475785e-06" "3.9109257419786e-05" "8.46468454427356e-06" "0.00630061652728205" "0.00630061652728205" "0.00567263100499316" "0.00447526982552383"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.55008169641948e-05" "8.69932219742907e-07" "3.92852931175355e-05" "3.65465276250618e-06" "3.92852931175355e-05" "1.09639582875186e-05" "0.00621345831249893" "0.00621345831249893" "0.00569275016418655" "0.00418106015819434"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.85126746182984e-05" "7.21234926906624e-07" "3.42695701262014e-05" "1.75128038891384e-06" "3.42695701262014e-05" "5.25384116674151e-06" "0.00582486435207404" "0.00582486435207404" "0.00584907673543844" "0.00462310810561297"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.07127093804081e-05" "7.48111751178274e-07" "4.20875418552243e-05" "4.7972340403601e-06" "4.20875418552243e-05" "1.43917021210803e-05" "0.00645536124834489" "0.00645536124834489" "0.00547711258297209" "0.00462220111976501"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.7712843112305e-05" "7.54265074426675e-07" "3.16502692885808e-05" "1.68092491277153e-06" "3.16502692885808e-05" "5.04277473831459e-06" "0.00572150884320992" "0.00572150884320992" "0.00559249199518311" "0.00477945564673763"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.52602901118972e-05" "8.74186257003416e-07" "3.99777553351742e-05" "2.52646140796523e-06" "3.99777553351742e-05" "7.5793842238957e-06" "0.00619822079843911" "0.00619822079843911" "0.00555762150829679" "0.00429540691600535"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.28128783211879e-05" "8.16758654809309e-07" "3.8457562960568e-05" "1.54024256805232e-06" "3.8457562960568e-05" "4.62072770415695e-06" "0.00616723104744959" "0.00616723104744959" "0.00572427607980882" "0.004634115626209"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.13528307204504e-05" "8.2149217522424e-07" "3.87449994345109e-05" "6.1483690795471e-06" "3.87449994345109e-05" "1.84451072386413e-05" "0.00619122533564707" "0.00619122533564707" "0.00500809017821843" "0.00437237015032706"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.62965516660868e-05" "8.37891862921559e-07" "3.25438298296201e-05" "2.31479145634328e-06" "3.25438298296201e-05" "6.94437436902985e-06" "0.00568473407123333" "0.00568473407123333" "0.00499831563736998" "0.00437815004332263"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.62803361051355e-05" "7.65040224656134e-07" "3.92125951799548e-05" "1.64412549409904e-06" "3.92125951799548e-05" "4.93237648229712e-06" "0.00628537316625505" "0.00628537316625505" "0.00621466381095398" "0.00470687768676457"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.31922703055898e-05" "7.11022314364157e-07" "3.2882474007214e-05" "2.79149813658024e-06" "3.2882474007214e-05" "8.37449440974071e-06" "0.0057079808600008" "0.0057079808600008" "0.00534474017541321" "0.0041052324423169"
