"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"lm" "svmRadial" "1" "3" "0" "0.04" "3" "3" "1.47515761661533e-06" "9.91160114174801e-07" "3.23305835620131e-06" "3.61155126914876e-06" "3.2330583562013e-06" "1.08346538074463e-05" "0.0025248476805171" "0.0025248476805171" "0.00120972597612004" "0.00174189666099838"
"lm" "svmRadial" "1" "3.08019114538653" "0" "0.1" "3" "3" "2.19141646399046e-06" "9.17906118767613e-07" "1.74645093111549e-06" "1.40676885075935e-06" "1.74645093111549e-06" "4.33311695771454e-06" "0.001950375487326" "0.001950375487326" "0.00131158874038916" "0.00230049904447342"
"lm" "svmRadial" "1" "3.0528303961693" "0" "0.05" "3" "3" "4.18341551980818e-06" "7.7728704469505e-07" "2.39028487736826e-06" "1.71349810339281e-06" "2.39028487736826e-06" "5.23101909381602e-06" "0.00191940111061834" "0.00191940111061834" "0.00148552940070643" "0.00292416112190642"
"lm" "svmRadial" "1" "3" "0" "0.07" "3" "3" "1.60375080314315e-06" "1.04017839876739e-06" "1.866700523602e-06" "1.66654297779001e-06" "1.866700523602e-06" "4.99962893337001e-06" "0.00197554494308758" "0.00197554494308758" "0.00126441265697265" "0.0017933740991556"
"lm" "svmRadial" "1" "3" "0" "0.1" "3" "3" "2.79610041841396e-06" "9.77332141776137e-07" "2.22834630618185e-06" "1.66616674918899e-06" "2.22834630618185e-06" "4.99850024756696e-06" "0.00211245406141373" "0.00211245406141373" "0.0014848402981701" "0.0022794905757929"
"lm" "svmRadial" "1" "3" "0" "0.09" "3" "3" "1.78406003592106e-06" "7.73691638615882e-07" "2.0215462421927e-06" "1.7432616787205e-06" "2.0215462421927e-06" "5.2297850361615e-06" "0.00209332245435994" "0.00209332245435994" "0.00126002354040983" "0.00236365512889256"
"lm" "svmRadial" "1" "3.085757480884" "0" "0.1" "3" "3" "1.80016918192502e-06" "7.67966687814238e-07" "1.56815402623085e-06" "1.18430850134252e-06" "1.56815402623085e-06" "3.65448881769221e-06" "0.00183591079203921" "0.00183591079203921" "0.00125347144529222" "0.00223987620160059"
"lm" "svmRadial" "1" "2.92231669725154" "0" "0.06" "3" "3" "1.84295910479492e-06" "8.90584316463402e-07" "2.04672629972921e-06" "1.45537910653083e-06" "2.04672629972921e-06" "4.25307866384607e-06" "0.00212964887992119" "0.00212964887992119" "0.00129316576094924" "0.00274706407786892"
"lm" "svmRadial" "1" "3" "0" "0.04" "3" "3" "2.59777649530172e-06" "1.04359243398406e-06" "1.94966495415975e-06" "1.48570562981125e-06" "1.94966495415975e-06" "4.45711688943375e-06" "0.00194140354688632" "0.00194140354688632" "0.00128580916062919" "0.00239102342068954"
"lm" "svmRadial" "1" "3" "0" "0.07" "3" "3" "2.07403803065426e-06" "1.00005289426587e-06" "1.97820516068284e-06" "1.36893460765024e-06" "1.97820516068284e-06" "4.10680382295073e-06" "0.0020990998358181" "0.0020990998358181" "0.00125382883185227" "0.00233343180520786"
"lm" "svmRadial" "1" "2.94306873696739" "0" "0.07" "3" "3" "2.16414350203896e-06" "7.72204784935516e-07" "2.49294419941467e-06" "2.26091313520432e-06" "2.49294419941467e-06" "6.65402276521875e-06" "0.00217370220573964" "0.00217370220573964" "0.001385497518083" "0.00248174948857726"
"lm" "svmRadial" "1" "3.02275624580767" "0" "0.12" "3" "3" "3.04457402502211e-06" "7.81870056984946e-07" "2.87138435057769e-06" "2.32237362339304e-06" "2.87138435057769e-06" "7.0199693752103e-06" "0.00229732278268794" "0.00229732278268794" "0.00146216626741134" "0.00258295313905768"
"lm" "svmRadial" "1" "3.05369958466541" "0" "0.06" "3" "3" "2.58451770324484e-06" "9.87191237519269e-07" "2.34042272688284e-06" "1.7809936629831e-06" "2.34042272688284e-06" "5.43861960894322e-06" "0.00228446357590751" "0.00228446357590751" "0.00128044795063586" "0.00266864503275873"
"lm" "svmRadial" "1" "3.01055817652878" "0" "0.05" "3" "3" "2.39910901817774e-06" "8.53917958592457e-07" "1.77763024271012e-06" "1.35849321690859e-06" "1.77763024271012e-06" "4.08982286192304e-06" "0.0019840102060061" "0.0019840102060061" "0.00132302065553067" "0.00304282948690385"
"lm" "svmRadial" "1" "3.01834747904925" "0" "0.1" "3" "3" "2.77460407123358e-06" "7.42438243879272e-07" "2.03092111009121e-06" "1.3806029164642e-06" "2.03092111009121e-06" "4.16713933247775e-06" "0.00191792131784345" "0.00191792131784345" "0.00142458199689927" "0.00252778388480064"
"lm" "svmRadial" "1" "3.18141069991837" "0" "0.07" "3" "3" "2.62577849770927e-06" "1.49520582628405e-06" "1.81765754076296e-06" "1.44695721224372e-06" "1.81765754076296e-06" "4.60336515735621e-06" "0.0019081169140692" "0.0019081169140692" "0.00132213044878976" "0.0021632390116348"
"lm" "svmRadial" "1" "3" "0" "0.05" "3" "3" "2.47402618523395e-06" "1.40041273419478e-06" "2.42956184571312e-06" "1.92196273245113e-06" "2.42956184571312e-06" "5.76588819735338e-06" "0.00214830589513989" "0.00214830589513989" "0.00131752750280656" "0.00203744732768768"
"lm" "svmRadial" "1" "2.94114391242553" "0" "0.09" "3" "3" "2.12481339542923e-06" "6.91714729043155e-07" "1.99087464674109e-06" "1.50848649627259e-06" "1.99087464674109e-06" "4.43667587548826e-06" "0.00202650339569801" "0.00202650339569801" "0.00141287778237971" "0.00255477113053077"
"lm" "svmRadial" "1" "3.02764112850909" "0" "0.1" "3" "3" "2.86171890680974e-06" "7.4525648742308e-07" "2.95600311225789e-06" "2.53857188960385e-06" "2.95600311225789e-06" "7.68588466064164e-06" "0.00242305623592792" "0.00242305623592792" "0.00151298533458176" "0.00306074119603763"
"lm" "svmRadial" "1" "3.03458432280953" "0" "0.09" "3" "3" "2.48223002984053e-06" "8.67806026527327e-07" "3.18412628106998e-06" "2.70539732188779e-06" "3.18412628106998e-06" "8.20975629997156e-06" "0.0024826986456741" "0.0024826986456741" "0.00144204766559703" "0.00264182449348053"
"lm" "svmRadial" "1" "3" "0" "0.12" "3" "3" "2.53183676830418e-06" "8.49440872624278e-07" "2.66499893584986e-06" "2.1698773749431e-06" "2.66499893584986e-06" "6.50963212482931e-06" "0.00236400489074772" "0.00236400489074772" "0.00149800587237514" "0.00228173302417302"
"lm" "svmRadial" "1" "3" "0" "0.09" "3" "3" "2.10415698765722e-06" "8.24449341541314e-07" "4.09785041217577e-06" "3.16220701652688e-06" "4.09785041217577e-06" "9.48662104958064e-06" "0.00283356945330458" "0.00283356945330458" "0.00147503550879514" "0.00285925691641559"
"lm" "svmRadial" "1" "3" "0" "0.09" "3" "3" "1.80357107758998e-06" "7.617903864326e-07" "2.12936755556705e-06" "1.53369238246838e-06" "2.12936755556705e-06" "4.60107714740513e-06" "0.00209885055327133" "0.00209885055327133" "0.00123576360161501" "0.00254584325064359"
"lm" "svmRadial" "1" "3" "0" "0.09" "3" "3" "3.0783542478287e-06" "7.26498199271573e-07" "2.00549296147912e-06" "1.48005076425419e-06" "2.00549296147912e-06" "4.44015229276256e-06" "0.00173516809124981" "0.00173516809124981" "0.00141649026093794" "0.00291480991279929"
"lm" "svmRadial" "1" "2.95882269068062" "0" "0.08" "3" "3" "3.3674842964992e-06" "8.4387953127984e-07" "1.87852104437684e-06" "1.43390182095957e-06" "1.87852104437684e-06" "4.24266124406343e-06" "0.00191837361960346" "0.00191837361960346" "0.00136618233823672" "0.00298244732075737"
"lm" "svmRadial" "1" "3.04338978502732" "0" "0.09" "3" "3" "1.89469307047948e-06" "7.30267351618473e-07" "3.28744621476435e-06" "1.95961088049162e-06" "3.28744621476435e-06" "5.96385973631657e-06" "0.0024948992235692" "0.0024948992235692" "0.00138992827370018" "0.00240131647048174"
"lm" "svmRadial" "1" "3" "0" "0.06" "3" "3" "2.82413575250733e-06" "8.24964787779413e-07" "1.93679896983655e-06" "1.39846657341164e-06" "1.93679896983655e-06" "4.19539972023493e-06" "0.00178811517303672" "0.00178811517303672" "0.00139296387027026" "0.00237127889680671"
"lm" "svmRadial" "1" "3" "0" "0.09" "3" "3" "3.26019026159364e-06" "8.9025002067465e-07" "2.19283096153871e-06" "1.59095916995791e-06" "2.19283096153871e-06" "4.77287750987373e-06" "0.00196319140142274" "0.00196319140142274" "0.0014414398199868" "0.00319352653577603"
"lm" "svmRadial" "1" "3" "0" "0.08" "3" "3" "2.10479570663058e-06" "8.50087266649016e-07" "2.0126099072922e-06" "1.61260911152351e-06" "2.0126099072922e-06" "4.83782733457051e-06" "0.00199247532119929" "0.00199247532119929" "0.0012322456155795" "0.00235361447020445"
"lm" "svmRadial" "1" "3.08398580340674" "0" "0.11" "3" "3" "2.54064444073743e-06" "8.59490862385781e-07" "3.00975312854027e-06" "2.00364866281884e-06" "3.00975312854027e-06" "6.17922403114819e-06" "0.00245152047720156" "0.00245152047720156" "0.00151740850790803" "0.00257670925968083"
"lm" "svmRadial" "1" "3.06272035604579" "0" "0.12" "3" "3" "1.95553979655413e-06" "6.64938896205318e-07" "2.19641214923508e-06" "1.58422968980587e-06" "2.19641214923508e-06" "4.85205251962053e-06" "0.00194898451117004" "0.00194898451117004" "0.00126231020771326" "0.00236692899930096"
"lm" "svmRadial" "1" "3" "0" "0.09" "3" "3" "1.72163355080887e-06" "7.91162217587274e-07" "1.90435632147681e-06" "1.66984992187009e-06" "1.90435632147681e-06" "5.00954976561028e-06" "0.00212223938081401" "0.00212223938081401" "0.00128245998934185" "0.00206535162378901"
"lm" "svmRadial" "1" "3" "0" "0.09" "3" "3" "2.07567877899487e-06" "6.68316305612318e-07" "1.70466987816652e-06" "1.41127032832874e-06" "1.70466987816652e-06" "4.23381098498621e-06" "0.0016664274727328" "0.0016664274727328" "0.00125027788916242" "0.00218092511707667"
"lm" "svmRadial" "1" "2.88417550385196" "0" "0.11" "3" "3" "2.36443705073323e-06" "7.70003438960826e-07" "2.82157602432856e-06" "1.92951970264993e-06" "2.82157602432855e-06" "5.56507346058266e-06" "0.00248690999633926" "0.00248690999633926" "0.00141179700856164" "0.00261640036425917"
"lm" "svmRadial" "1" "3.20322646773852" "0" "0.1" "3" "3" "1.8955780423133e-06" "9.96915775092207e-07" "2.12874766568062e-06" "1.67245902256772e-06" "2.12874766568062e-06" "5.35726500729704e-06" "0.00213488084184664" "0.00213488084184664" "0.00133909403219099" "0.00212029664053636"
"lm" "svmRadial" "1" "3" "0" "0.06" "3" "3" "1.544275673178e-06" "8.2475718932255e-07" "2.11843532286559e-06" "1.97321904051688e-06" "2.11843532286559e-06" "5.91965712155064e-06" "0.00209869351405136" "0.00209869351405136" "0.00127494510610873" "0.00192902718100861"
"lm" "svmRadial" "1" "3.14598723511655" "0" "0.06" "3" "3" "1.78565920029135e-06" "7.85088061353385e-07" "1.56786700923182e-06" "1.17017835054972e-06" "1.56786700923182e-06" "3.68136615363914e-06" "0.00166113008388612" "0.00166113008388612" "0.00122874353571226" "0.00235517116751184"
"lm" "svmRadial" "1" "3.02853104842041" "0" "0.1" "3" "3" "3.56520225166171e-06" "1.04511571268805e-06" "2.46382484350559e-06" "2.3616124727783e-06" "2.46382484350559e-06" "7.15221669814599e-06" "0.0022378609936576" "0.0022378609936576" "0.00155472495569899" "0.00245404921272515"
"lm" "svmRadial" "1" "3" "0" "0.1" "3" "3" "2.51638964349297e-06" "8.57338299892712e-07" "1.85127253434446e-06" "1.27503040989198e-06" "1.85127253434446e-06" "3.82509122967593e-06" "0.00190923187348254" "0.00190923187348254" "0.00135639107035474" "0.00267117660041402"
"lm" "svmRadial" "1" "3" "0" "0.05" "3" "3" "2.55413918389137e-06" "9.22682558059363e-07" "1.72372762526479e-06" "1.36978349761305e-06" "1.72372762526479e-06" "4.10935049283916e-06" "0.00195349680999508" "0.00195349680999508" "0.00129776341706803" "0.00244554193299873"
"lm" "svmRadial" "1" "3.14765684164836" "0" "0.1" "3" "3" "2.12387413747363e-06" "7.24048963668884e-07" "1.90145401688031e-06" "1.53556405816052e-06" "1.90145401688031e-06" "4.83342871345829e-06" "0.0018632164367318" "0.0018632164367318" "0.0013727779522199" "0.00255801305667092"
"lm" "svmRadial" "1" "3" "0" "0.08" "3" "3" "2.46031235293165e-06" "8.69970617312781e-07" "2.36261908991152e-06" "1.96810992586587e-06" "2.36261908991152e-06" "5.9043297775976e-06" "0.00227215141424999" "0.00227215141424999" "0.00129015501488472" "0.00261970630740989"
"lm" "svmRadial" "1" "2.92846223582152" "0" "0.07" "3" "3" "1.82699498042008e-06" "9.27316530642467e-07" "2.16814004408441e-06" "1.41946940551203e-06" "2.16814004408441e-06" "4.15686254894601e-06" "0.00203785169191769" "0.00203785169191769" "0.00134343103730983" "0.00269197006424049"
