"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.11528426558272e-06" "6.56694336892132e-06" "8.67878664969243e-07" "6.4964172720711e-05" "8.67878664969243e-07" "6.4964172720711e-05" "0.049079600039568" "0.049079600039568" "0.000928221459800049" "0.0192871570739153"
"1" "lm" "svmRadial" "1" "1.46667796092396" "0" "0.01" "3" "3" "8.99334681343851e-07" "6.66295369860299e-06" "1.01926209178695e-06" "3.56560383076561e-05" "1.01926209178695e-06" "5.22959255596997e-05" "0.0473482785480587" "0.0473482785480587" "0.00100869361772" "0.0185770494159809"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.73040950559896e-07" "6.81941614836737e-06" "9.86740557950205e-07" "4.45863293308745e-05" "9.86740557950205e-07" "4.45863293308745e-05" "0.0458328254305682" "0.0458328254305682" "0.000993526357296909" "0.0230933039376144"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.0406581524966e-06" "5.82071342212638e-06" "9.57556065036959e-07" "6.46879381569542e-05" "9.57556065036959e-07" "6.46879381569542e-05" "0.0474826269832174" "0.0474826269832174" "0.000970790384994282" "0.0170908226628357"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.04897021486687e-06" "6.09186025247343e-06" "1.03222301982268e-06" "3.85821431151121e-05" "1.03222301982268e-06" "3.85821431151121e-05" "0.0457018959758432" "0.0457018959758432" "0.00101035607554135" "0.0198759120082811"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.05126366132456e-06" "6.7399249532e-06" "1.02627128437463e-06" "5.26670760768526e-05" "1.02627128437463e-06" "5.26670760768526e-05" "0.0476268363733174" "0.0476268363733174" "0.00101468323729564" "0.0197015633127923"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.0786395749618e-06" "7.14302629972519e-06" "1.04889887230875e-06" "2.9325151226015e-05" "1.04889887230875e-06" "2.9325151226015e-05" "0.0488988894036835" "0.0488988894036835" "0.00102610871979433" "0.0216741889137128"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.04100113832945e-07" "7.74447372209767e-06" "9.41694275940856e-07" "7.90562639164118e-05" "9.41694275940856e-07" "7.90562639164118e-05" "0.0477171998062649" "0.0477171998062649" "0.000974840366963016" "0.0176878072038935"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.40653079482915e-07" "6.23536779945521e-06" "1.05955031738214e-06" "3.18331388487275e-05" "1.05955031738214e-06" "3.18331388487275e-05" "0.0478333849400064" "0.0478333849400064" "0.00102609471701669" "0.0161351720993272"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.38213027447802e-07" "6.40928793094306e-06" "9.31809356354732e-07" "0.000145363023604686" "9.31809356354732e-07" "0.000145363023604686" "0.0486361249830299" "0.0486361249830299" "0.000951742784865102" "0.0198510226713188"
"1" "lm" "svmRadial" "1" "1.24733394114324" "0" "0.01" "3" "3" "9.18144555781561e-07" "7.66075914266608e-06" "9.85259922144829e-07" "6.77407091514982e-05" "9.85259922144829e-07" "8.44952857217763e-05" "0.0487435027561299" "0.0487435027561299" "0.000994253993707268" "0.0159500685635615"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.54202815626238e-07" "6.72676703795103e-06" "1.02940617075878e-06" "5.82078308154757e-05" "1.02940617075878e-06" "5.82078308154757e-05" "0.0473646280378913" "0.0473646280378913" "0.00101529467548482" "0.0142999814554284"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.545960835353e-07" "1.91813211067294e-05" "9.71683193866351e-07" "5.29253718371698e-05" "9.71683193866351e-07" "5.29253718371698e-05" "0.0469600812644268" "0.0469600812644268" "0.000986062568644197" "0.0197304422685977"
"1" "lm" "svmRadial" "1" "1.21109968437976" "0" "0.01" "3" "3" "8.8974500437924e-07" "7.83576621985609e-06" "9.85769620494115e-07" "9.52235645201691e-05" "9.85769620494115e-07" "0.000115325228935892" "0.0479266495011487" "0.0479266495011487" "0.000992233873826604" "0.018328652044403"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.05465304652525e-06" "6.47370356244266e-06" "1.13366278676035e-06" "3.43210363102134e-05" "1.13366278676035e-06" "3.43210363102134e-05" "0.0482541667659746" "0.0482541667659746" "0.0010663081727305" "0.013569473158344"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.03345698381199e-06" "6.24537042789513e-06" "1.01646532547634e-06" "6.96590227630175e-05" "1.01646532547634e-06" "6.96590227630175e-05" "0.0469422811472142" "0.0469422811472142" "0.0010073520937806" "0.0167741362439967"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.00691653940748e-06" "7.23003514105133e-06" "1.01373790180909e-06" "0.00010091255152514" "1.01373790180909e-06" "0.00010091255152514" "0.0484765818102518" "0.0484765818102518" "0.00100412653752411" "0.011900329179123"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.02443402272802e-06" "6.18670037697477e-06" "1.05138927929848e-06" "1.62729543981008e-05" "1.05138927929848e-06" "1.62729543981008e-05" "0.048923390658736" "0.048923390658736" "0.00101232153485705" "0.0129060026993383"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.01493040731016e-06" "7.13129629421317e-06" "9.85636973532049e-07" "6.24949208038218e-05" "9.85636973532049e-07" "6.24949208038218e-05" "0.0492488073030396" "0.0492488073030396" "0.000992034969423467" "0.0211492874271807"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.02595587956475e-06" "6.17030390158544e-06" "9.92423066657389e-07" "4.37419408552529e-05" "9.92423066657389e-07" "4.37419408552529e-05" "0.0478390564593438" "0.0478390564593438" "0.000996691189170124" "0.015802106271667"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.78678080227146e-07" "6.36659376250643e-06" "9.80565021408453e-07" "3.65773429412906e-05" "9.80565021408453e-07" "3.65773429412906e-05" "0.0492628014413753" "0.0492628014413753" "0.00099081058480074" "0.0167427258808936"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.55955029509052e-07" "6.68624928361548e-06" "9.37819588767132e-07" "2.81916584703378e-05" "9.37819588767132e-07" "2.81916584703378e-05" "0.0484099521588067" "0.0484099521588067" "0.000965636120341125" "0.0163624343598071"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.43778407698175e-07" "6.86281191372676e-06" "9.56480310358776e-07" "8.95213508126797e-05" "9.56480310358776e-07" "8.95213508126797e-05" "0.0493140957315318" "0.0493140957315318" "0.00098101149991251" "0.0253097332951714"
